Nom vernaculaire|Variete|Regne|Division|Classe|Ordre|Famille|Genre|Nom binomial|Ordre phylogenetique|Famille phylogenetique
Pomme de terre||Plantae|Magnoliophyta|Magnoliopsida|Solanales|Solanaceae|Solanum|Solanum tuberosum L. 1753|Solanales|Solanaceae||25/25/2015_17:03
Tomate  ||||||||Coeur de Boeuf||||17/17/2016_19:17
Tomate  |Coeur de Boeuf|||||||Coeur de Boeuf||||18/18/2016_13:21
Tomate  |Ananas|||||||Ananas||||18/18/2016_13:21
Tomate  ||||||||Ananas||||17/17/2016_19:19
Tomate  ||||||||Ananas||||17/17/2016_19:19
Tomate  ||||||||Ananas||||17/17/2016_19:19
Tomate||||||||Arbre de BERAO||||17/17/2016_19:20
Tomate||||||||Arbre de BERAO||||17/17/2016_19:20
Tomate  ||||||||IDAHO||||17/17/2016_19:21
Tomate  ||||||||IDAHO||||17/17/2016_19:21
Tomate  ||||||||Noire de CRIMEE||||17/17/2016_19:22
Tomate  ||||||||Noire de CRIMEE||||17/17/2016_19:22
